record,year,How often wear bicycle helmet,Ever text while driving in past 30 days,Ever smoked,How old when first smoked,How many days smoked in past 30 days,How many cigarettes/day in past 30 days,Ever been bullied
634689,2005,Sometimes wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
929004,2009,Did not ride a bicycle,NA,Yes,17 years old or older,0 days,Did not smoke cigarettes,FALSE
265996,1997,Rarely wore a helmet,NA,Yes,15 or 16 years old,0 days,Did not smoke cigarettes,NA
35342,1991,Never wore a helmet,NA,Yes,13 or 14 years old,10 to 19 days,2 to 5 cigarettes,NA
181291,1995,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
120130,1993,Did not ride a bicycle,NA,Yes,15 or 16 years old,0 days,Did not smoke cigarettes,NA
1308511,2013,Most of the time wore a helmet,0 days,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
1306290,2013,Sometimes wore a helmet,0 days,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
923185,2009,Did not ride a bicycle,NA,Yes,11 or 12 years old,1 or 2 days,More than 20 cigarettes,TRUE
323564,1999,Never wore a helmet,NA,NA,NA,0 days,Did not smoke cigarettes,NA
764918,2007,Always wore a helmet,NA,Yes,11 or 12 years old,All 30 days,11 to 20 cigarettes,NA
331106,1999,Sometimes wore a helmet,NA,Yes,13 or 14 years old,3 to 5 days,1 cigarette,NA
1101923,2011,Did not ride a bicycle,NA,NA,Never smoked a cigarette,0 days,NA,FALSE
767585,2007,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
629628,2005,Never wore a helmet,NA,Yes,11 or 12 years old,All 30 days,2 to 5 cigarettes,NA
323821,1999,Never wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1097184,2011,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,TRUE
404148,2001,Most of the time wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
769051,2007,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
187777,1995,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1102786,2011,Did not ride a bicycle,NA,NA,Never smoked a cigarette,0 days,NA,FALSE
1095338,2011,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,TRUE
500742,2003,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
771342,2007,Rarely wore a helmet,NA,Yes,8 years old or younger,20 to 29 days,6 to 10 cigarettes,NA
181621,1995,Never wore a helmet,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,NA
1103886,2011,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
184025,1995,Never wore a helmet,NA,NA,15 or 16 years old,0 days,Did not smoke cigarettes,NA
1102739,2011,Never wore a helmet,NA,Yes,NA,3 to 5 days,Less than 1 cigarette,FALSE
1313604,2013,Never wore a helmet,0 days,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
503053,2003,Never wore a helmet,NA,Yes,8 years old or younger,20 to 29 days,1 cigarette,NA
182031,1995,Never wore a helmet,NA,Yes,13 or 14 years old,1 or 2 days,Less than 1 cigarette,NA
